species,scheme,engine_severity,total_genome_count,non_refseq_count,refseq_count,pass_count,warn_count,fail_count
Pseudomonas alloputida,qualibact-v1.0,info,657,651,6,597,52,47
Pseudomonas asiatica,qualibact-v1.0,warn,199,184,15,170,19,9
Pseudomonas avellanae,qualibact-v1.0,warn,429,426,3,393,36,23
Pseudomonas fluorescens,qualibact-v1.0,error,128,97,31,90,11,6
Pseudomonas fulva,qualibact-v1.0,warn,122,105,17,99,10,9
Pseudomonas glycinae,qualibact-v1.0,warn,187,186,1,179,10,17
Pseudomonas juntendi,qualibact-v1.0,error,100,91,9,81,11,11
Pseudomonas marginalis,qualibact-v1.0,info,983,977,6,989,43,59
Pseudomonas monteilii,qualibact-v1.0,warn,138,121,17,106,14,9
Pseudomonas paracarnis,qualibact-v1.0,warn,393,392,1,379,20,43
Pseudomonas protegens,qualibact-v1.0,warn,217,186,31,166,20,14
Pseudomonas putida,qualibact-v1.0,warn,277,163,114,146,15,9
Pseudomonas syringae,qualibact-v1.0,warn,249,161,88,147,21,18
Ralstonia pseudosolanacearum,qualibact-v1.0,warn,499,333,166,312,25,21
Ralstonia solanacearum,qualibact-v1.0,warn,418,378,40,351,68,29
Renibacterium salmoninarum,REFSEQ-QC-v1,error,12,6,6,0,0,42
Rhizobium leguminosarum,qualibact-v1.0,error,172,90,82,77,21,11
Salmonella arizonae,qualibact-v1.0,warn,1736,1735,1,1626,190,86
Salmonella bongori,qualibact-v1.0,warn,162,150,12,139,17,14
Salmonella enterica,qualibact-v1.0,warn,583602,581630,1972,552037,68499,23251
Serratia bockelmannii,qualibact-v1.0,warn,284,278,6,253,25,22
Serratia marcescens,qualibact-v1.0,warn,1480,1285,195,1213,151,64
Serratia nematodiphila,qualibact-v1.0,warn,263,261,2,248,19,27
Serratia nevei,qualibact-v1.0,info,896,886,10,817,88,51
Serratia sarumannii,REFSEQ-QC-v1,error,38,19,19,,,
Serratia ureilytica,qualibact-v1.0,warn,397,372,25,382,41,31
Sinorhizobium medicae,qualibact-v1.0,warn,196,184,12,167,18,11
Sinorhizobium meliloti,qualibact-v1.0,info,570,507,63,473,56,14
Staphylococcus argenteus,qualibact-v1.0,info,629,612,17,587,37,47
Staphylococcus aureus,qualibact-v1.0,info,112764,110904,1860,107176,9002,4938
Staphylococcus capitis,qualibact-v1.0,info,1515,1472,43,1387,157,69
Staphylococcus chromogenes,qualibact-v1.0,warn,312,300,12,280,29,20
Staphylococcus coagulans,qualibact-v1.0,error,86,86,0,87,6,10
Staphylococcus epidermidis,qualibact-v1.0,info,6310,6045,265,5431,628,332
Staphylococcus equorum,qualibact-v1.0,warn,131,105,26,103,11,12
Staphylococcus haemolyticus,qualibact-v1.0,info,1595,1559,36,1456,110,106
Staphylococcus hominis,qualibact-v1.0,warn,379,354,25,325,21,29
Staphylococcus lugdunensis,qualibact-v1.0,warn,161,129,32,123,11,5
Staphylococcus pseudintermedius,qualibact-v1.0,warn,5184,5044,140,4740,459,289
Staphylococcus saprophyticus,qualibact-v1.0,info,1137,1116,21,1047,97,47
Staphylococcus simulans,qualibact-v1.0,warn,339,317,22,298,26,13
Staphylococcus warneri,qualibact-v1.0,warn,182,166,16,155,17,12
Staphylococcus xylosus,qualibact-v1.0,warn,307,281,26,259,23,21
Stenotrophomonas geniculata,qualibact-v1.0,warn,144,120,24,121,7,6
Stenotrophomonas maltophilia,qualibact-v1.0,info,1881,1793,88,1645,170,89
Stenotrophomonas pavanii,qualibact-v1.0,error,122,97,25,96,15,6
Stenotrophomonas sepilia,qualibact-v1.0,warn,126,111,15,116,11,10
Streptococcus agalactiae,qualibact-v1.0,info,35034,34823,211,33260,2718,1350
Streptococcus anginosus,qualibact-v1.0,warn,233,209,24,202,20,10
Streptococcus canis,qualibact-v1.0,warn,119,113,6,106,8,18
Streptococcus dysgalactiae,qualibact-v1.0,info,1587,1521,66,1391,141,70
Streptococcus equi,qualibact-v1.0,info,1833,1792,41,1700,200,85
Streptococcus gordonii,qualibact-v1.0,error,107,91,16,83,8,11
Streptococcus mitis,qualibact-v1.0,warn,392,373,19,346,33,20
