species,scheme,metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
Acinetobacter nosocomialis,qualibact-v1.0,GC_Content,non-normal,38.72472180685358,0.07729668350887034,38.7165,38.682,38.7652,0.08319999999999794,38.3821,39.0606,38.53994,39.02462,38.6081,38.8985,38.5399,39.0246,38.6081,38.8985,Acinetobacter nosocomialis,321,35,normal,38.77737714285714,0.06287633706940363,38.782,38.7185,38.823049999999995,0.10454999999999615,38.6369,38.9,38.647202,38.899370999999995,38.68841,38.896854999999995,0.3907432131731197,7.64890359782248e-05,0.057000400534044704
Acinetobacter nosocomialis,qualibact-v1.0,Completeness_Specific,non-normal,99.99919003115264,0.003051687700002834,100.0,100.0,100.0,0.0,99.98,100.0,99.98,100.0,99.99,100.0,89.32,100.0,99.99,100.0,Acinetobacter nosocomialis,321,35,normal,93.07285714285715,1.520531056531748,93.27,91.775,94.36500000000001,2.5900000000000034,89.32,95.3,89.58009999999999,95.2864,90.62049999999999,95.232,1.0,5.821357031490281e-49,6.926332888295505
Acinetobacter nosocomialis,qualibact-v1.0,Contamination,non-normal,0.1547663551401869,0.20459372001577314,0.07,0.01,0.24,0.22999999999999998,0.0,1.06,0.0,0.9939999999999998,0.0,0.75,0.0,8.86,0.0,0.75,Acinetobacter nosocomialis,321,35,non-normal,3.2337142857142855,1.6982833109000495,2.8,2.12,3.37,1.25,1.46,8.86,1.4923,8.754599999999998,1.6215,8.332999999999998,1.0,5.821357031490281e-49,3.078947930574099
Acinetobacter nosocomialis,qualibact-v1.0,Total_Coding_Sequences,non-normal,3798.423676012461,147.4564445968829,3784.0,3677.0,3898.0,221.0,3460.0,4146.0,3521.0,4137.2,3568.0,4128.0,3521.0,4216.0,3568.0,4128.0,Acinetobacter nosocomialis,321,35,normal,3922.2,175.22537324420637,3874.0,3793.0,4072.5,279.5,3583.0,4216.0,3595.75,4211.24,3646.75,4192.2,0.3119715175789942,0.0031364331349433244,123.77632398753892
Acinetobacter nosocomialis,qualibact-v1.0,Genome_Size,non-normal,3999216.9968847353,131735.59923133152,3966144.0,3907548.0,4073681.0,166133.0,3737809.0,4328872.0,3768285.8,4324595.2,3802670.0,4307581.0,3768285.8,4428133.0,3802670.0,4307581.0,Acinetobacter nosocomialis,321,35,normal,4105675.685714286,179551.6737732816,4050855.0,3960572.5,4250671.5,290099.0,3793191.0,4428133.0,3798593.94,4422659.68,3820205.7,4400766.4,0.31241655540720964,0.0030982677423814038,106645.00551846907
Acinetobacter pittii,qualibact-v1.0,N50,non-normal,223718.09797297296,170144.03471958492,156206.0,108427.75,281993.75,173566.0,26850.0,1062479.0,30895.425,985536.8349999984,51042.775,642305.175,30895.42,985536.83,51042.78,642305.18,Acinetobacter pittii,592,0,,,,,,,,,,,,,,,,
Acinetobacter pittii,qualibact-v1.0,number,non-normal,93.01013513513513,47.38321238791176,91.0,58.0,117.0,59.0,19.0,462.0,23.0,299.47499999999775,30.0,196.45000000000005,23.0,299.47,30.0,196.45,Acinetobacter pittii,592,0,,,,,,,,,,,,,,,,
Acinetobacter pittii,qualibact-v1.0,longest,non-normal,545307.6435810811,361826.8814859592,409218.5,304068.0,656762.75,352694.75,89330.0,1923640.0,122185.005,1740532.5299999993,158534.2,1615626.9000000004,122185.0,1740532.53,158534.2,1615626.9,Acinetobacter pittii,592,0,,,,,,,,,,,,,,,,
Acinetobacter pittii,qualibact-v1.0,GC_Content,non-normal,38.74905219594595,0.07849425823752254,38.7487,38.705600000000004,38.7985,0.0928999999999931,38.4281,39.0424,38.475677499999996,38.9387555,38.5654625,38.9058675,38.4757,39.1757,38.5655,38.9059,Acinetobacter pittii,592,82,non-normal,38.83428658536585,0.09349320147736219,38.82465,38.77005,38.874825,0.10477500000000362,38.6248,39.1757,38.6406355,39.120377,38.6674725,39.006080000000004,0.41607613711272246,9.128743947941946e-12,0.08523438941990755
Acinetobacter pittii,qualibact-v1.0,Completeness_Specific,non-normal,99.99635135135135,0.008108108108108485,100.0,99.99,100.0,0.010000000000005116,99.92,100.0,99.94955,100.0,99.98,100.0,97.5,100.0,99.98,100.0,Acinetobacter pittii,592,82,non-normal,99.78048780487805,0.3697853775651958,99.905,99.76,99.99,0.22999999999998977,97.5,99.99,98.0265,99.99,99.01025,99.99,0.7347972972972973,2.0752131181666973e-39,0.21586354647330375
