species,metric,lower_bounds,upper_bounds
Staphylococcus coagulans,Genome_Size,1900000,2800000
Staphylococcus epidermidis,N50,10000,
Staphylococcus epidermidis,no_of_contigs,,490
Staphylococcus epidermidis,GC_Content,30,34
Staphylococcus epidermidis,Completeness_Specific,95,
Staphylococcus epidermidis,Contamination,,3
Staphylococcus epidermidis,Total_Coding_Sequences,1900,3100
Staphylococcus epidermidis,Genome_Size,2000000,3200000
Staphylococcus equorum,N50,220000,
Staphylococcus equorum,no_of_contigs,,70
Staphylococcus equorum,GC_Content,31,35
Staphylococcus equorum,Completeness_Specific,95,
Staphylococcus equorum,Contamination,,3
Staphylococcus equorum,Total_Coding_Sequences,2200,3300
Staphylococcus equorum,Genome_Size,2400000,3300000
Staphylococcus haemolyticus,N50,17000,
Staphylococcus haemolyticus,no_of_contigs,,350
Staphylococcus haemolyticus,GC_Content,31,35
Staphylococcus haemolyticus,Completeness_Specific,94,
Staphylococcus haemolyticus,Contamination,,3
Staphylococcus haemolyticus,Total_Coding_Sequences,2000,3100
Staphylococcus haemolyticus,Genome_Size,2000000,3000000
Staphylococcus hominis,N50,5000,
Staphylococcus hominis,no_of_contigs,,1650
Staphylococcus hominis,GC_Content,30,35
Staphylococcus hominis,Completeness_Specific,85,
Staphylococcus hominis,Contamination,,8
Staphylococcus hominis,Total_Coding_Sequences,1800,3200
Staphylococcus hominis,Genome_Size,1800000,2800000
Staphylococcus lugdunensis,N50,75000,
Staphylococcus lugdunensis,no_of_contigs,,90
Staphylococcus lugdunensis,GC_Content,32,35
Staphylococcus lugdunensis,Completeness_Specific,94,
Staphylococcus lugdunensis,Contamination,,4
Staphylococcus lugdunensis,Total_Coding_Sequences,2100,3100
Staphylococcus lugdunensis,Genome_Size,2200000,3100000
Staphylococcus pseudintermedius,N50,28000,
Staphylococcus pseudintermedius,no_of_contigs,,240
Staphylococcus pseudintermedius,GC_Content,36,39
Staphylococcus pseudintermedius,Completeness_Specific,90,
Staphylococcus pseudintermedius,Contamination,,6
Staphylococcus pseudintermedius,Total_Coding_Sequences,2000,3200
Staphylococcus pseudintermedius,Genome_Size,2100000,3200000
Staphylococcus saprophyticus,N50,61000,
Staphylococcus saprophyticus,no_of_contigs,,130
Staphylococcus saprophyticus,GC_Content,31,35
Staphylococcus saprophyticus,Completeness_Specific,95,
Staphylococcus saprophyticus,Contamination,,2
Staphylococcus saprophyticus,Total_Coding_Sequences,2200,3100
Staphylococcus saprophyticus,Genome_Size,2200000,3100000
Staphylococcus simulans,N50,15000,
Staphylococcus simulans,no_of_contigs,,380
Staphylococcus simulans,GC_Content,34,38
Staphylococcus simulans,Completeness_Specific,97,
Staphylococcus simulans,Contamination,,3
Staphylococcus simulans,Total_Coding_Sequences,2100,3100
Staphylococcus simulans,Genome_Size,2200000,3200000
Staphylococcus warneri,N50,23000,
Staphylococcus warneri,no_of_contigs,,220
Staphylococcus warneri,GC_Content,31,34
Staphylococcus warneri,Completeness_Specific,95,
Staphylococcus warneri,Contamination,,2
Staphylococcus warneri,Total_Coding_Sequences,2000,3100
Staphylococcus warneri,Genome_Size,2100000,3100000
Staphylococcus xylosus,N50,28000,
Staphylococcus xylosus,no_of_contigs,,250
Staphylococcus xylosus,GC_Content,31,34
Staphylococcus xylosus,Completeness_Specific,96,
Staphylococcus xylosus,Contamination,,3
Staphylococcus xylosus,Total_Coding_Sequences,2200,3200
Staphylococcus xylosus,Genome_Size,2400000,3300000
Stenotrophomonas geniculata,N50,28000,
Stenotrophomonas geniculata,no_of_contigs,,290
Stenotrophomonas geniculata,GC_Content,64,68
Stenotrophomonas geniculata,Completeness_Specific,98,
Stenotrophomonas geniculata,Contamination,,4
Stenotrophomonas geniculata,Total_Coding_Sequences,3500,5400
Stenotrophomonas geniculata,Genome_Size,3900000,5900000
Stenotrophomonas maltophilia,N50,21000,
Stenotrophomonas maltophilia,no_of_contigs,,450
Stenotrophomonas maltophilia,GC_Content,64,69
Stenotrophomonas maltophilia,Completeness_Specific,93,
Stenotrophomonas maltophilia,Contamination,,6
Stenotrophomonas maltophilia,Total_Coding_Sequences,3300,5400
Stenotrophomonas maltophilia,Genome_Size,3700000,5800000
Stenotrophomonas pavanii,N50,32000,
Stenotrophomonas pavanii,no_of_contigs,,270
Stenotrophomonas pavanii,GC_Content,65,69
Stenotrophomonas pavanii,Completeness_Specific,97,
Stenotrophomonas pavanii,Contamination,,3
Stenotrophomonas pavanii,Total_Coding_Sequences,3400,5100
Stenotrophomonas pavanii,Genome_Size,3800000,5400000
Stenotrophomonas sepilia,N50,40000,
Stenotrophomonas sepilia,no_of_contigs,,220
Stenotrophomonas sepilia,GC_Content,65,68
Stenotrophomonas sepilia,Completeness_Specific,99,
Stenotrophomonas sepilia,Contamination,,3
Stenotrophomonas sepilia,Total_Coding_Sequences,3400,4800
Stenotrophomonas sepilia,Genome_Size,3800000,5300000
Streptococcus agalactiae,N50,32000,
Streptococcus agalactiae,no_of_contigs,,150
Streptococcus agalactiae,GC_Content,34,38
Streptococcus agalactiae,Completeness_Specific,94,
Streptococcus agalactiae,Contamination,,4
Streptococcus agalactiae,Total_Coding_Sequences,1700,2700
Streptococcus agalactiae,Genome_Size,1700000,2700000
Streptococcus anginosus,N50,63000,
Streptococcus anginosus,no_of_contigs,,120
Streptococcus anginosus,GC_Content,37,41
Streptococcus anginosus,Completeness_Specific,88,
Streptococcus anginosus,Contamination,,4
Streptococcus anginosus,Total_Coding_Sequences,1500,2600
Streptococcus anginosus,Genome_Size,1600000,2600000
Streptococcus canis,N50,40000,
Streptococcus canis,no_of_contigs,,160
Streptococcus canis,GC_Content,38,41
Streptococcus canis,Completeness_Specific,98,
Streptococcus canis,Contamination,,3
Streptococcus canis,Total_Coding_Sequences,1600,2500
Streptococcus canis,Genome_Size,1600000,2500000
Streptococcus dysgalactiae,N50,30000,
Streptococcus dysgalactiae,no_of_contigs,,210
Streptococcus dysgalactiae,GC_Content,38,41
Streptococcus dysgalactiae,Completeness_Specific,90,
Streptococcus dysgalactiae,Contamination,,4
Streptococcus dysgalactiae,Total_Coding_Sequences,1700,2600
Streptococcus dysgalactiae,Genome_Size,1700000,2600000
Streptococcus equi,N50,21000,
Streptococcus equi,no_of_contigs,,230
Streptococcus equi,GC_Content,39,43
Streptococcus equi,Completeness_Specific,96,
Streptococcus equi,Contamination,,3
Streptococcus equi,Total_Coding_Sequences,1600,2500
Streptococcus equi,Genome_Size,1700000,2600000
Streptococcus gordonii,N50,93000,
Streptococcus gordonii,no_of_contigs,,70
Streptococcus gordonii,GC_Content,39,42
Streptococcus gordonii,Completeness_Specific,98,
Streptococcus gordonii,Contamination,,2
Streptococcus gordonii,Total_Coding_Sequences,1800,2600
Streptococcus gordonii,Genome_Size,1800000,2600000
Streptococcus mitis,N50,37000,
Streptococcus mitis,no_of_contigs,,190
Streptococcus mitis,GC_Content,38,43
Streptococcus mitis,Completeness_Specific,91,
Streptococcus mitis,Contamination,,3
Streptococcus mitis,Total_Coding_Sequences,1500,2500
Streptococcus mitis,Genome_Size,1600000,2500000
Streptococcus mutans,N50,67000,
Streptococcus mutans,no_of_contigs,,90
Streptococcus mutans,GC_Content,35,39
Streptococcus mutans,Completeness_Specific,93,
Streptococcus mutans,Contamination,,4
Streptococcus mutans,Total_Coding_Sequences,1600,2300
Streptococcus mutans,Genome_Size,1700000,2400000
Streptococcus oralis,N50,49000,
Streptococcus oralis,no_of_contigs,,140
Streptococcus oralis,GC_Content,38,43
Streptococcus oralis,Completeness_Specific,95,
Streptococcus oralis,Contamination,,3
Streptococcus oralis,Total_Coding_Sequences,1500,2400
Streptococcus oralis,Genome_Size,1600000,2500000
Streptococcus parasanguinis,N50,53000,
Streptococcus parasanguinis,no_of_contigs,,100
Streptococcus parasanguinis,GC_Content,40,44
Streptococcus parasanguinis,Completeness_Specific,96,
Streptococcus parasanguinis,Contamination,,3
Streptococcus parasanguinis,Total_Coding_Sequences,1700,2400
Streptococcus parasanguinis,Genome_Size,1800000,2600000
Streptococcus pneumoniae,N50,22000,
Streptococcus pneumoniae,no_of_contigs,,240
Streptococcus pneumoniae,GC_Content,38,41
Streptococcus pneumoniae,Completeness_Specific,96,
Streptococcus pneumoniae,Contamination,,4
Streptococcus pneumoniae,Total_Coding_Sequences,1700,2700
Streptococcus pneumoniae,Genome_Size,1700000,2600000
Streptococcus pseudopneumoniae,N50,25000,
Streptococcus pseudopneumoniae,no_of_contigs,,290
Streptococcus pseudopneumoniae,GC_Content,38,41
Streptococcus pseudopneumoniae,Completeness_Specific,97,
Streptococcus pseudopneumoniae,Contamination,,2
Streptococcus pseudopneumoniae,Total_Coding_Sequences,1600,2700
Streptococcus pseudopneumoniae,Genome_Size,1700000,2600000
Streptococcus pyogenes,N50,54000,
Streptococcus pyogenes,no_of_contigs,,100
Streptococcus pyogenes,GC_Content,37,40
Streptococcus pyogenes,Completeness_Specific,96,
Streptococcus pyogenes,Contamination,,4
Streptococcus pyogenes,Total_Coding_Sequences,1400,2300
Streptococcus pyogenes,Genome_Size,1500000,2300000
Streptococcus salivarius,N50,49000,
Streptococcus salivarius,no_of_contigs,,120
Streptococcus salivarius,GC_Content,38,42
Streptococcus salivarius,Completeness_Specific,92,
Streptococcus salivarius,Contamination,,9
Streptococcus salivarius,Total_Coding_Sequences,1600,2600
Streptococcus salivarius,Genome_Size,1700000,2700000
Streptococcus suis,N50,18000,
Streptococcus suis,no_of_contigs,,310
Streptococcus suis,GC_Content,38,45
Streptococcus suis,Completeness_Specific,92,
Streptococcus suis,Contamination,,6
Streptococcus suis,Total_Coding_Sequences,1600,3000
Streptococcus suis,Genome_Size,1700000,2900000
Streptococcus uberis,N50,36000,
Streptococcus uberis,no_of_contigs,,140
Streptococcus uberis,GC_Content,35,38
Streptococcus uberis,Completeness_Specific,97,
Streptococcus uberis,Contamination,,3
Streptococcus uberis,Total_Coding_Sequences,1500,2400
Streptococcus uberis,Genome_Size,1600000,2400000
Streptomyces albidoflavus,N50,6000,
Streptomyces albidoflavus,no_of_contigs,,1700
Streptomyces albidoflavus,GC_Content,71,75
Streptomyces albidoflavus,Completeness_Specific,94,
Streptomyces albidoflavus,Contamination,,3
Streptomyces albidoflavus,Total_Coding_Sequences,5100,8200
Streptomyces albidoflavus,Genome_Size,5700000,8600000
Streptomyces anthocyanicus,N50,29000,
Streptomyces anthocyanicus,no_of_contigs,,630
Streptomyces anthocyanicus,GC_Content,70,74
Streptomyces anthocyanicus,Completeness_Specific,99,
Streptomyces anthocyanicus,Contamination,,2
Streptomyces anthocyanicus,Total_Coding_Sequences,6600,9200
Streptomyces anthocyanicus,Genome_Size,7300000,10000000
Stutzerimonas stutzeri,N50,57000,
Stutzerimonas stutzeri,no_of_contigs,,680
Stutzerimonas stutzeri,GC_Content,58,66
Stutzerimonas stutzeri,Completeness_Specific,94,
Stutzerimonas stutzeri,Contamination,,4
Stutzerimonas stutzeri,Total_Coding_Sequences,3500,5400
Stutzerimonas stutzeri,Genome_Size,3700000,5700000
Taylorella equigenitalis,N50,129000,
Taylorella equigenitalis,no_of_contigs,,60
Taylorella equigenitalis,GC_Content,36,39
Taylorella equigenitalis,Completeness_Specific,92,
Taylorella equigenitalis,Contamination,,10
Taylorella equigenitalis,Total_Coding_Sequences,1300,1800
Taylorella equigenitalis,Genome_Size,1400000,2000000
Treponema pallidum,N50,3000,
Treponema pallidum,no_of_contigs,,750
Treponema pallidum,GC_Content,50,54
Treponema pallidum,Completeness_Specific,70,
Treponema pallidum,Contamination,,4
Treponema pallidum,Total_Coding_Sequences,800,1700
Treponema pallidum,Genome_Size,800000,1700000
Turicibacter sanguinis,N50,10000,
Turicibacter sanguinis,no_of_contigs,,620
Turicibacter sanguinis,GC_Content,33,36
Turicibacter sanguinis,Completeness_Specific,94,
Turicibacter sanguinis,Contamination,,5
Turicibacter sanguinis,Total_Coding_Sequences,2400,3600
Turicibacter sanguinis,Genome_Size,2600000,3600000
Vibrio alginolyticus,N50,61000,
Vibrio alginolyticus,no_of_contigs,,250
Vibrio alginolyticus,GC_Content,43,46
Vibrio alginolyticus,Completeness_Specific,94,
Vibrio alginolyticus,Contamination,,5
Vibrio alginolyticus,Total_Coding_Sequences,4000,5900
Vibrio alginolyticus,Genome_Size,4400000,6300000
Vibrio anguillarum,N50,30000,
Vibrio anguillarum,no_of_contigs,,380
Vibrio anguillarum,GC_Content,43,46
Vibrio anguillarum,Completeness_Specific,95,
Vibrio anguillarum,Contamination,,3
Vibrio anguillarum,Total_Coding_Sequences,3000,5100
Vibrio anguillarum,Genome_Size,3400000,5400000
Vibrio cholerae,N50,69000,
Vibrio cholerae,no_of_contigs,,250
Vibrio cholerae,GC_Content,46,49
Vibrio cholerae,Completeness_Specific,94,
Vibrio cholerae,Contamination,,6
Vibrio cholerae,Total_Coding_Sequences,3000,4700
Vibrio cholerae,Genome_Size,3400000,5000000
Vibrio diabolicus,N50,94000,
Vibrio diabolicus,no_of_contigs,,170
Vibrio diabolicus,GC_Content,43,46
Vibrio diabolicus,Completeness_Specific,96,
Vibrio diabolicus,Contamination,,4
Vibrio diabolicus,Total_Coding_Sequences,4000,5600
Vibrio diabolicus,Genome_Size,4400000,6100000
Vibrio fluvialis,N50,97000,
Vibrio fluvialis,no_of_contigs,,170
Vibrio fluvialis,GC_Content,48,52
Vibrio fluvialis,Completeness_Specific,92,
Vibrio fluvialis,Contamination,,4
Vibrio fluvialis,Total_Coding_Sequences,3700,5700
Vibrio fluvialis,Genome_Size,3900000,6000000
Vibrio mediterranei,N50,371000,
Vibrio mediterranei,no_of_contigs,,150
Vibrio mediterranei,GC_Content,42,46
Vibrio mediterranei,Completeness_Specific,98,
Vibrio mediterranei,Contamination,,4
Vibrio mediterranei,Total_Coding_Sequences,4600,6200
Vibrio mediterranei,Genome_Size,5100000,6600000
Vibrio metschnikovii,N50,67000,
Vibrio metschnikovii,no_of_contigs,,510
Vibrio metschnikovii,GC_Content,42,46
Vibrio metschnikovii,Completeness_Specific,94,
Vibrio metschnikovii,Contamination,,3
Vibrio metschnikovii,Total_Coding_Sequences,2900,4200
Vibrio metschnikovii,Genome_Size,3200000,4500000
Vibrio parahaemolyticus,N50,84000,
Vibrio parahaemolyticus,no_of_contigs,,200
Vibrio parahaemolyticus,GC_Content,43,47
Vibrio parahaemolyticus,Completeness_Specific,94,
Vibrio parahaemolyticus,Contamination,,8
Vibrio parahaemolyticus,Total_Coding_Sequences,4000,6500
Vibrio parahaemolyticus,Genome_Size,4400000,6800000
Vibrio vulnificus,N50,57000,
Vibrio vulnificus,no_of_contigs,,340
Vibrio vulnificus,GC_Content,44,48
Vibrio vulnificus,Completeness_Specific,96,
Vibrio vulnificus,Contamination,,7
Vibrio vulnificus,Total_Coding_Sequences,3800,6400
Vibrio vulnificus,Genome_Size,4200000,6700000
Wolbachia pipientis,N50,12000,
Wolbachia pipientis,no_of_contigs,,250
Wolbachia pipientis,GC_Content,32,37
Wolbachia pipientis,Completeness_Specific,96,
Wolbachia pipientis,Contamination,,3
Wolbachia pipientis,Total_Coding_Sequences,1000,1900
Wolbachia pipientis,Genome_Size,1000000,1900000
Xanthomonas arboricola,N50,48000,
Xanthomonas arboricola,no_of_contigs,,250
Xanthomonas arboricola,GC_Content,64,67
Xanthomonas arboricola,Completeness_Specific,96,
Xanthomonas arboricola,Contamination,,4
Xanthomonas arboricola,Total_Coding_Sequences,3500,5100
Xanthomonas arboricola,Genome_Size,4200000,5900000
Xanthomonas campestris,N50,53000,
Xanthomonas campestris,no_of_contigs,,240
Xanthomonas campestris,GC_Content,63,67
Xanthomonas campestris,Completeness_Specific,93,
Xanthomonas campestris,Contamination,,5
Xanthomonas campestris,Total_Coding_Sequences,3600,5200
Xanthomonas campestris,Genome_Size,4300000,5900000
Xanthomonas cissicola,N50,51000,
Xanthomonas cissicola,no_of_contigs,,320
Xanthomonas cissicola,GC_Content,64,66
Xanthomonas cissicola,Completeness_Specific,99,
Xanthomonas cissicola,Contamination,,2
Xanthomonas cissicola,Total_Coding_Sequences,3800,5300
Xanthomonas cissicola,Genome_Size,4500000,6000000
Xanthomonas euvesicatoria,N50,46000,
Xanthomonas euvesicatoria,no_of_contigs,,300
Xanthomonas euvesicatoria,GC_Content,63,67
Xanthomonas euvesicatoria,Completeness_Specific,95,
Xanthomonas euvesicatoria,Contamination,,4
Xanthomonas euvesicatoria,Total_Coding_Sequences,3600,5300
Xanthomonas euvesicatoria,Genome_Size,4400000,6100000
Xanthomonas hortorum,N50,15000,
Xanthomonas hortorum,no_of_contigs,,880
Xanthomonas hortorum,GC_Content,62,65
Xanthomonas hortorum,Completeness_Specific,96,
Xanthomonas hortorum,Contamination,,4
Xanthomonas hortorum,Total_Coding_Sequences,3800,5800
Xanthomonas hortorum,Genome_Size,4500000,6600000
Xanthomonas oryzae,N50,3000,
Xanthomonas oryzae,no_of_contigs,,1790
Xanthomonas oryzae,GC_Content,62,66
Xanthomonas oryzae,Completeness_Specific,83,
Xanthomonas oryzae,Contamination,,6
Xanthomonas oryzae,Total_Coding_Sequences,3600,5900
Xanthomonas oryzae,Genome_Size,3600000,5800000
Xylella fastidiosa,N50,38000,
Xylella fastidiosa,no_of_contigs,,360
Xylella fastidiosa,GC_Content,50,54
Xylella fastidiosa,Completeness_Specific,92,
Xylella fastidiosa,Contamination,,4
Xylella fastidiosa,Total_Coding_Sequences,1900,3200
Xylella fastidiosa,Genome_Size,2100000,3200000
Yersinia enterocolitica,N50,31000,
Yersinia enterocolitica,no_of_contigs,,370
Yersinia enterocolitica,GC_Content,45,49
Yersinia enterocolitica,Completeness_Specific,90,
Yersinia enterocolitica,Contamination,,6
Yersinia enterocolitica,Total_Coding_Sequences,3600,5400
Yersinia enterocolitica,Genome_Size,3900000,5700000
Yersinia intermedia,N50,47000,
Yersinia intermedia,no_of_contigs,,340
Yersinia intermedia,GC_Content,46,49
Yersinia intermedia,Completeness_Specific,97,
Yersinia intermedia,Contamination,,4
Yersinia intermedia,Total_Coding_Sequences,3700,5700
Yersinia intermedia,Genome_Size,4200000,6000000
Yersinia pestis,N50,15000,
Yersinia pestis,no_of_contigs,,590
Yersinia pestis,GC_Content,46,49
Yersinia pestis,Completeness_Specific,93,
Yersinia pestis,Contamination,,3
Yersinia pestis,Total_Coding_Sequences,3500,5000
Yersinia pestis,Genome_Size,3900000,5500000
Yersinia ruckeri,N50,101000,
Yersinia ruckeri,no_of_contigs,,140
Yersinia ruckeri,GC_Content,46,49
Yersinia ruckeri,Completeness_Specific,93,
Yersinia ruckeri,Contamination,,4
Yersinia ruckeri,Total_Coding_Sequences,2900,4100
Yersinia ruckeri,Genome_Size,3200000,4500000
