species,metric,lower_bounds,upper_bounds
Bifidobacterium breve,N50,10000,
Bifidobacterium breve,no_of_contigs,,450
Bifidobacterium breve,GC_Content,57,61
Bifidobacterium breve,Completeness_Specific,93,
Bifidobacterium breve,Contamination,,14
Bifidobacterium breve,Total_Coding_Sequences,1600,2700
Bifidobacterium breve,Genome_Size,1900000,2900000
Bifidobacterium dentium,N50,91000,
Bifidobacterium dentium,no_of_contigs,,70
Bifidobacterium dentium,GC_Content,57,60
Bifidobacterium dentium,Completeness_Specific,87,
Bifidobacterium dentium,Contamination,,7
Bifidobacterium dentium,Total_Coding_Sequences,1700,2700
Bifidobacterium dentium,Genome_Size,2100000,3100000
Bifidobacterium longum,N50,45000,
Bifidobacterium longum,no_of_contigs,,180
Bifidobacterium longum,GC_Content,58,62
Bifidobacterium longum,Completeness_Specific,92,
Bifidobacterium longum,Contamination,,4
Bifidobacterium longum,Total_Coding_Sequences,1600,3000
Bifidobacterium longum,Genome_Size,1900000,3200000
Bifidobacterium pseudocatenulatum,N50,52000,
Bifidobacterium pseudocatenulatum,no_of_contigs,,100
Bifidobacterium pseudocatenulatum,GC_Content,55,58
Bifidobacterium pseudocatenulatum,Completeness_Specific,92,
Bifidobacterium pseudocatenulatum,Contamination,,3
Bifidobacterium pseudocatenulatum,Total_Coding_Sequences,1500,2500
Bifidobacterium pseudocatenulatum,Genome_Size,1800000,2900000
Bordetella pertussis,N50,10000,
Bordetella pertussis,no_of_contigs,,600
Bordetella pertussis,GC_Content,66,69
Bordetella pertussis,Completeness_Specific,90,
Bordetella pertussis,Contamination,,9
Bordetella pertussis,Total_Coding_Sequences,3200,4700
Bordetella pertussis,Genome_Size,3300000,4900000
Borreliella afzelii,N50,11000,
Borreliella afzelii,no_of_contigs,,470
Borreliella afzelii,GC_Content,26,30
Borreliella afzelii,Completeness_Specific,94,
Borreliella afzelii,Contamination,,3
Borreliella afzelii,Total_Coding_Sequences,700,1900
Borreliella afzelii,Genome_Size,800000,1600000
Borreliella burgdorferi,N50,2000,
Borreliella burgdorferi,no_of_contigs,,1130
Borreliella burgdorferi,GC_Content,26,34
Borreliella burgdorferi,Completeness_Specific,83,
Borreliella burgdorferi,Contamination,,10
Borreliella burgdorferi,Total_Coding_Sequences,700,2200
Borreliella burgdorferi,Genome_Size,800000,1900000
Borreliella garinii,N50,11000,
Borreliella garinii,no_of_contigs,,490
Borreliella garinii,GC_Content,26,30
Borreliella garinii,Completeness_Specific,77,
Borreliella garinii,Contamination,,4
Borreliella garinii,Total_Coding_Sequences,700,2000
Borreliella garinii,Genome_Size,700000,1700000
Brachyspira hyodysenteriae,N50,10000,
Brachyspira hyodysenteriae,no_of_contigs,,500
Brachyspira hyodysenteriae,GC_Content,25,29
Brachyspira hyodysenteriae,Completeness_Specific,92,
Brachyspira hyodysenteriae,Contamination,,3
Brachyspira hyodysenteriae,Total_Coding_Sequences,2300,3300
Brachyspira hyodysenteriae,Genome_Size,2600000,3700000
Bradyrhizobium diazoefficiens,N50,50000,
Bradyrhizobium diazoefficiens,no_of_contigs,,400
Bradyrhizobium diazoefficiens,GC_Content,62,66
Bradyrhizobium diazoefficiens,Completeness_Specific,96,
Bradyrhizobium diazoefficiens,Contamination,,2
Bradyrhizobium diazoefficiens,Total_Coding_Sequences,5900,10100
Bradyrhizobium diazoefficiens,Genome_Size,6400000,10500000
Brucella melitensis,N50,73000,
Brucella melitensis,no_of_contigs,,100
Brucella melitensis,GC_Content,56,59
Brucella melitensis,Completeness_Specific,94,
Brucella melitensis,Contamination,,2
Brucella melitensis,Total_Coding_Sequences,2700,3600
Brucella melitensis,Genome_Size,2900000,3700000
Burkholderia cenocepacia,N50,20000,
Burkholderia cenocepacia,no_of_contigs,,800
Burkholderia cenocepacia,GC_Content,65,69
Burkholderia cenocepacia,Completeness_Specific,91,
Burkholderia cenocepacia,Contamination,,6
Burkholderia cenocepacia,Total_Coding_Sequences,5500,9000
Burkholderia cenocepacia,Genome_Size,6000000,9700000
Burkholderia cepacia,N50,71000,
Burkholderia cepacia,no_of_contigs,,390
Burkholderia cepacia,GC_Content,64,69
Burkholderia cepacia,Completeness_Specific,93,
Burkholderia cepacia,Contamination,,6
Burkholderia cepacia,Total_Coding_Sequences,5300,9700
Burkholderia cepacia,Genome_Size,5800000,10400000
Burkholderia contaminans,N50,19000,
Burkholderia contaminans,no_of_contigs,,1250
Burkholderia contaminans,GC_Content,64,74
Burkholderia contaminans,Completeness_Specific,92,
Burkholderia contaminans,Contamination,,4
Burkholderia contaminans,Total_Coding_Sequences,5300,10200
Burkholderia contaminans,Genome_Size,5600000,11100000
Burkholderia dolosa,N50,17000,
Burkholderia dolosa,no_of_contigs,,800
Burkholderia dolosa,GC_Content,65,69
Burkholderia dolosa,Completeness_Specific,99,
Burkholderia dolosa,Contamination,,4
Burkholderia dolosa,Total_Coding_Sequences,5000,6700
Burkholderia dolosa,Genome_Size,5500000,7200000
Burkholderia gladioli,N50,54000,
Burkholderia gladioli,no_of_contigs,,380
Burkholderia gladioli,GC_Content,66,70
Burkholderia gladioli,Completeness_Specific,90,
Burkholderia gladioli,Contamination,,6
Burkholderia gladioli,Total_Coding_Sequences,6000,8900
Burkholderia gladioli,Genome_Size,6900000,10000000
Burkholderia mallei,N50,22000,
Burkholderia mallei,no_of_contigs,,750
Burkholderia mallei,GC_Content,66,70
