species,scheme,metric,FINAL_lower,FINAL_upper,WARN_lower,WARN_upper,source,engine_severity,lower,upper,ml_lower,ml_upper,auto_lower,auto_upper,refseq_lower,refseq_upper
Moraxella catarrhalis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Moraxella catarrhalis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Mycobacterium abscessus,enterobase-v2.3,Genome_Size,3000000,7000000,,,external,,3000000,7000000,,,,,,
Mycobacterium abscessus,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Mycobacterium abscessus,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Mycobacterium avium,enterobase-v2.3,Genome_Size,3000000,7000000,,,external,,3000000,7000000,,,,,,
Mycobacterium avium,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Mycobacterium avium,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Mycobacterium chelonae,enterobase-v2.3,Genome_Size,3000000,7000000,,,external,,3000000,7000000,,,,,,
Mycobacterium chelonae,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Mycobacterium chelonae,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Mycobacterium intracellulare,enterobase-v2.3,Genome_Size,3000000,7000000,,,external,,3000000,7000000,,,,,,
Mycobacterium intracellulare,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Mycobacterium intracellulare,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Mycobacterium kansasii,enterobase-v2.3,Genome_Size,3000000,7000000,,,external,,3000000,7000000,,,,,,
Mycobacterium kansasii,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Mycobacterium kansasii,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Mycobacterium marinum,enterobase-v2.3,Genome_Size,3000000,7000000,,,external,,3000000,7000000,,,,,,
Mycobacterium marinum,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Mycobacterium marinum,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Mycobacterium smegmatis,enterobase-v2.3,Genome_Size,3000000,7000000,,,external,,3000000,7000000,,,,,,
Mycobacterium smegmatis,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Mycobacterium smegmatis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Mycobacterium tuberculosis,enterobase-v2.3,Genome_Size,3000000,7000000,,,external,,3000000,7000000,,,,,,
Mycobacterium tuberculosis,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
