species,scheme,metric,FINAL_lower,FINAL_upper,WARN_lower,WARN_upper,source,engine_severity,lower,upper,ml_lower,ml_upper,auto_lower,auto_upper,refseq_lower,refseq_upper
Aeromonas hydrophila,qualibact-v1.0,N50,44000,,52000,763787.4,computed,warn,44000,,44710.4,763787.4,44710.4,763787.3999999994,,
Aeromonas hydrophila,qualibact-v1.0,no_of_contigs,,320,39.8,210,computed,warn,,320,39.8,311.2,39.8,311.1999999999996,,
Aeromonas hydrophila,qualibact-v1.0,longest,,,129008.4,1334946,computed,warn,,,129008.4,1334946,129008.4,1334946,,
Aeromonas salmonicida,qualibact-v1.0,Genome_Size,4300000,5200000,4500000,5100000,computed,warn,4300000,5200000,4395896.55,5191207,4395896.55,5131935.100000001,4624259.4,5183748.2
Aeromonas salmonicida,qualibact-v1.0,GC_Content,58.14,59.04,58.27,58.87,computed,warn,58.14,59.04,58.1425,59.0309,58.23023,58.90388,58.14634,59.006460000000004
Aeromonas salmonicida,qualibact-v1.0,Total_Coding_Sequences,4200,5000,4200,4800,computed,warn,4200,5000,4214.9,4986,4214.9,4882.650000000001,4252,4985.8
Aeromonas salmonicida,qualibact-v1.0,Completeness_Specific,94,,100,100,computed,warn,94,,94.04,100,100,100,94.14800000000001,99.956
Aeromonas salmonicida,qualibact-v1.0,Contamination,,2,0.13,2,computed,warn,,2,0.13,1.74,0.188,1.519500000000001,0.13,1.74
Aeromonas salmonicida,qualibact-v1.0,N50,25000,,39000,160853.9,computed,warn,25000,,25804.25,160853.9,25804.25,160853.9,,
Aeromonas salmonicida,qualibact-v1.0,no_of_contigs,,490,88.9,350,computed,warn,,490,88.9,487,88.9,487,,
Aeromonas salmonicida,qualibact-v1.0,longest,,,116127.95,485582.9,computed,warn,,,116127.95,485582.9,116127.95,485582.90000000084,,
Aeromonas veronii,qualibact-v1.0,Genome_Size,4300000,5300000,4300000,5000000,computed,warn,4300000,5300000,4306227.32,5204591,4306227.32,5004209,4458811.02,5202367.82
Aeromonas veronii,qualibact-v1.0,GC_Content,57.97,61.01,58.17,59.04,computed,warn,57.97,61.01,57.9736,61.001,58.068723999999996,59.0807,57.9792925,60.278225
Aeromonas veronii,qualibact-v1.0,Total_Coding_Sequences,3900,5000,3900,4700,computed,warn,3900,5000,3909.8,4948,3909.8,4739.36,4111.035,4923.505
Aeromonas veronii,qualibact-v1.0,Completeness_Specific,90,,100,100,computed,warn,90,,90.13,100,100,100,91.0891,99.521
Aeromonas veronii,qualibact-v1.0,Contamination,,11,0.04,1,computed,warn,,11,0.04,10.98,0.04,0.9536000000000001,0.20795000000000002,9.241200000000006
Aeromonas veronii,qualibact-v1.0,N50,35000,,65000,704305.08,computed,warn,35000,,35185.56,704305.08,35185.56,704305.0800000001,,
Aeromonas veronii,qualibact-v1.0,no_of_contigs,,330,38,250,computed,warn,,330,38,323.08,38,323.08000000000004,,
Aeromonas veronii,qualibact-v1.0,longest,,,117565.84,1318612.24,computed,warn,,,117565.84,1318612.24,117565.84,1318612.24,,
Agrobacterium fabacearum,qualibact-v1.0,Genome_Size,4600000,6500000,5400000,6400000,computed,warn,4600000,6500000,4675914,6469646,5409170.57,6446688.705000003,4793884.55,6422139.94
Agrobacterium fabacearum,qualibact-v1.0,GC_Content,57.16,60.03,58.31,58.62,computed,warn,57.16,60.03,57.1666,60.0262,58.264793,58.625545,57.479742,59.919683000000006
Agrobacterium fabacearum,qualibact-v1.0,Total_Coding_Sequences,4300,6200,5100,6100,computed,warn,4300,6200,4356,6147.09,5066.145,6147.085000000003,4491.72,6122.35
Agrobacterium fabacearum,qualibact-v1.0,Completeness_Specific,88,,100,100,computed,warn,88,,88.93,100,100,100,89.2055,97.54260000000001
Agrobacterium fabacearum,qualibact-v1.0,Contamination,,16,0.04,4,computed,warn,,16,0.04,15.92,0.044250000000000005,3.8195500000000013,2.7083,15.548800000000002
Agrobacterium fabacearum,qualibact-v1.0,N50,274000,,302000,1088500.93,computed,warn,274000,,274854.09,1088500.93,274854.09,1088500.9300000006,,
Agrobacterium fabacearum,qualibact-v1.0,no_of_contigs,,110,22.88,90,computed,warn,,110,22.88,109.07,22.885,109.07000000000016,,
Agrobacterium fabacearum,qualibact-v1.0,longest,,,615651.87,2489026.86,computed,warn,,,615651.87,2489026.86,615651.87,2489026.8550000004,,
Agrobacterium pusense,qualibact-v1.0,Genome_Size,4900000,6400000,5200000,6400000,computed,warn,4900000,6400000,4957912,6388230.28,5185082.48,6388230.28,4963191.01,6118380.965
Agrobacterium pusense,qualibact-v1.0,GC_Content,59.09,59.32,59.1,59.29,computed,warn,59.09,59.32,59.0935,59.3116,59.10228,59.303048,59.093874,59.3113525
Agrobacterium pusense,qualibact-v1.0,Total_Coding_Sequences,4600,6300,4900,6300,computed,warn,4600,6300,4689,6290.88,4885.24,6290.88,4692.19,5897.145
Agrobacterium pusense,qualibact-v1.0,Completeness_Specific,98,,100,100,computed,warn,98,,98.65,100,100,100,98.67035,99.59835
Agrobacterium pusense,qualibact-v1.0,Contamination,,6,0.03,5,computed,warn,,6,0.03,5.39,0.030400000000000003,5.3944,0.29109999999999997,2.77615
Agrobacterium pusense,qualibact-v1.0,N50,177000,,217000,1030346.36,computed,warn,177000,,177806.96,1030346.36,177806.96,1030346.36,,
Agrobacterium pusense,qualibact-v1.0,no_of_contigs,,230,25.52,180,computed,warn,,230,25.52,227.44,25.52,227.44000000000023,,
Agrobacterium pusense,qualibact-v1.0,longest,,,463062.56,2001629.88,computed,warn,,,463062.56,2001629.88,463062.56,2001629.880000001,,
Agrobacterium tumefaciens,qualibact-v1.0,Genome_Size,4600000,6500000,4900000,6100000,computed,warn,4600000,6500000,4675914,6469646,4915776.52,6192817.52,4793884.55,6422139.94
Agrobacterium tumefaciens,qualibact-v1.0,GC_Content,57.16,60.03,59.08,59.66,computed,warn,57.16,60.03,57.1666,60.0262,59.045228,59.713072000000004,57.479742,59.919683000000006
Agrobacterium tumefaciens,qualibact-v1.0,Total_Coding_Sequences,4300,6200,4500,5800,computed,warn,4300,6200,4356,6147,4565.52,5918.2,4491.72,6122.35
Agrobacterium tumefaciens,qualibact-v1.0,Completeness_Specific,88,,99,100,computed,warn,88,,88.93,100,99.8112,100,89.2055,97.54260000000001
Agrobacterium tumefaciens,qualibact-v1.0,Contamination,,16,0.05,2,computed,warn,,16,0.05,15.92,0.0548,2.3331999999999993,2.7083,15.548800000000002
Agrobacterium tumefaciens,qualibact-v1.0,N50,119000,,170000,1106683.48,computed,warn,119000,,119638.72,1106683.48,119638.72,1106683.48,,
Agrobacterium tumefaciens,qualibact-v1.0,no_of_contigs,,130,18,120,computed,warn,,130,18,125.44,18,125.44,,
Agrobacterium tumefaciens,qualibact-v1.0,longest,,,339379.64,2603148,computed,warn,,,339379.64,2603148,339379.64,2603148,,
Aliarcobacter butzleri,qualibact-v1.0,Genome_Size,2000000,2700000,2000000,2500000,computed,warn,2000000,2700000,2032910.85,2629648,2032910.85,2513129.3999999994,2087824.52,2624108.62
Aliarcobacter butzleri,qualibact-v1.0,GC_Content,26.73,27.27,26.75,27.09,computed,warn,26.73,27.27,26.7318,27.2608,26.73182,27.227445,26.952607999999998,27.254398
Aliarcobacter butzleri,qualibact-v1.0,Total_Coding_Sequences,2000,2700,2000,2500,computed,warn,2000,2700,2087.15,2668,2087.15,2619,2159.62,2663.38
Aliarcobacter butzleri,qualibact-v1.0,Completeness_Specific,93,,100,100,computed,warn,93,,93.69,100,100,100,93.7516,99.67
